Language;Category;Level;Question;Option1;Option2;Option3;Option4;CorrectAnswer;Difficulty
Java;Methods;Expert;Mit jelent a synchronized kulcsszó Java-ban?;Szálbiztos kódot biztosít;Megakadályozza a metódus felüldefiniálását;Egy metódust véglegessé tesz;Egyik sem;Szálbiztos kódot biztosít;2
Java;DataStructures;Expert;Melyik Java gyûjtemény tárolja kulcs-érték párokat?;HashMap;ArrayList;LinkedList;Vector;HashMap;2
Java;DataStructures;Expert;Hogyan iterálhatsz egy listán Java-ban?;Iterator használatával;while ciklussal;if utasítással;Egyik sem;Iterator használatával;2
Java;DataStructures;Expert;Hogyan iterálhatsz egy listán Java-ban?;Iterator használatával;while ciklussal;if utasítással;Egyik sem;Iterator használatával;2
Javascript;Type;Expert;Mi a különbség a 'let' és a 'var' között?;'let' blokkszintû, 'var' függvényszintû;'let' csak egyszer használható;'var' nem inicializálható;Egyik sem;'let' blokkszintû, 'var' függvényszintû;3
Javascript;Type;Expert;Melyik primitív típus nem létezik JavaScript-ben?;integer;string;boolean;undefined;integer;3
Javascript;Type;Expert;Hogyan hozhatsz létre objektumot JavaScript-ben?;A '{}' szintaxissal;A 'new object()' szintaxissal;Mindkettõ;Egyik sem;A '{}' szintaxissal;3
Javascript;Type;Expert;Melyik primitív típus nem létezik JavaScript-ben?;integer;string;boolean;undefined;integer;3
Javascript;Loop;Expert;Hogyan iterálhatsz egy tömbön JavaScript-ben?;for...of;while;if;do-while;for...of;3
Javascript;Loop;Expert;Mit jelent a nested loop?;Ciklus egy másik ciklusban;Egy ciklus megszakítása;Egy ciklus újraindítása;Nincs ilyen fogalom;Ciklus egy másik ciklusban;3
Javascript;Loop;Expert;Mit jelent a nested loop?;Ciklus egy másik ciklusban;Egy ciklus megszakítása;Egy ciklus újraindítása;Nincs ilyen fogalom;Ciklus egy másik ciklusban;3
Javascript;OOP;Expert;Mit jelent a constructor metódus?;Egy osztály inicializáló metódusa;Egy statikus metódus;Egy privát metódus;Egyik sem;Egy osztály inicializáló metódusa;3
Javascript;Methods;Expert;Mit jelent a return kulcsszó?;Kilép egy függvénybõl, és visszaad egy értéket;Egy értéket állít be;Egy függvényt inicializál;Egyik sem;Kilép egy függvénybõl, és visszaad egy értéket;3
Javascript;Methods;Expert;Hogyan biztosítod, hogy egy függvény mindig ugyanazt az értéket adja vissza?;Tisztán funkcionális (pure function);Statikus metódussal;Privát változóval;Egyik sem;Tisztán funkcionális (pure function);3
Javascript;Methods;Expert;Hogyan definiálsz egy nyílfüggvényt (arrow function)?;() => {};function() {};=> function();function => {};() => {};3
Javascript;Methods;Expert;Hogyan definiálsz egy nyílfüggvényt (arrow function)?;() => {};function() {};=> function();function => {};() => {};3
Javascript;Methods;Expert;Mit jelent a callback függvény?;Egy függvény, amelyet egy másik függvény argumentumként hív meg;Egy metódus, amely mindig true-t ad vissza;Egy statikus függvény;Egyik sem;Egy függvény, amelyet egy másik függvény argumentumként hív meg;3
Javascript;Methods;Expert;Mit jelent a return kulcsszó?;Kilép egy függvénybõl, és visszaad egy értéket;Egy értéket állít be;Egy függvényt inicializál;Egyik sem;Kilép egy függvénybõl, és visszaad egy értéket;3
Javascript;Methods;Expert;Mit jelent a return kulcsszó?;Kilép egy függvénybõl, és visszaad egy értéket;Egy értéket állít be;Egy függvényt inicializál;Egyik sem;Kilép egy függvénybõl, és visszaad egy értéket;3
Javascript;DataStructures;Expert;Melyik adatszerkezet nem engedélyez duplikált elemeket?;Set;Array;Map;Object;Set;3
Javascript;DataStructures;Expert;Hogyan távolíthatsz el egy elemet egy Map-bõl?;delete metódussal;remove metódussal;pop metódussal;Egyik sem;delete metódussal;3
Javascript;DataStructures;Expert;Hogyan iterálhatsz egy Map-en?;forEach metódussal;for ciklussal;while ciklussal;if utasítással;forEach metódussal;3
Javascript;DataStructures;Expert;Hogyan távolíthatsz el egy elemet egy Map-bõl?;delete metódussal;remove metódussal;pop metódussal;Egyik sem;delete metódussal;3
Python;Type;Expert; Melyik a következõ  típusok közül nem numerikus típus Pythonban?; int; float; bool; complex; bool;0
Python;Type;Expert; Mi a következõ  kód kimenete? x = 10.5 isinstance(x, float); True; False; Error; None; True;0
Python;Type;Expert; Mi a következõ  kód kimenete? x = [1, 2, 3] y = x x[0] = 10 print(y);[10, 2, 3];[1, 2, 3];[10, 1, 2, 3]; [1, 10, 2, 3];[10, 2, 3];0
Python;Type;Expert; Mi a következõ  kód kimenete? x = (1, 2, 3) y = x x += (4,) print(y);(1, 2, 3);(1, 2, 3, 4);-4;Error;(1, 2, 3);0
Python;Loop;Expert; Mi a következõ  kód kimenete? for i in range(5): if i == 3: break print(i); 0 1 2 3; 0 1 2 3 4; 0 1 2; 0 1 2 3 4 5; 0 1 2;0
Python;Loop;Expert; Mi a következõ  kód kimenete? for i in range(5): if i == 2: continue print(i); 0 1 2 3 4; 0 1 3 4; 0 1 3 4 5; 1 3 4 5; 0 1 3 4;0
Python;Loop;Expert; Mi a következõ  kód kimenete? for i in range(3): for j in range(2): print(i, j); 0 0 0 1 1 0 1 1 2 0 2 1; 0 1 2 3 4 5; 0 1 2; 0 0 1 1 2 2; 0 0 0 1 1 0 1 1 2 0 2 1;0
Python;Loop;Expert; Mi a következõ  kód kimenete? for i in range(5): if i % 2 == 0: print(i); 0 2 4; 1 3 5; 0 1 2 3 4; 2 4 6; 0 2 4;0
Python;OOP;Expert; Mi a következõ  kód kimenete? class A: def m(self): print('A') class B(A): def m(self): print('B') b = B() b.m(); A; B; A B; Error; B;0
Python;OOP;Expert; Mi a következõ  kód kimenete? class A: def __init__(self): self.x = 1 class B(A): def __init__(self): super().__init__() self.y = 2 b = B() print(b.x, b.y); 1 2; 1 1; 2 2; Error; 1 2;0
Python;OOP;Expert; Mi a következõ  kód kimenete? class A: def __init__(self): self.x = 1 def display(self): print(self.x) class B(A): def display(self): print(self.x * 2) b = B() b.display();2;1; Error; None;2;1
Python;OOP;Expert;" Mi a következõ  kód kimenete? class A: def display(self): print(""A"") class B(A): def display(self): super().display() print(""B"") b = B() b.display(), A B"; A; B; Error; None; A B;1
Python;Methods;Expert; Mi a következõ  kód kimenete? def func(x): return x * 2 result = func(5);5;10;15;20;10;1
Python;Methods;Expert;  Mi a következõ  kód kimenete? def func(a,  b=5): return a + b result = func(3);3;8; Error; None;8;1
Python;Methods;Expert; Mi a következõ  kód kimenete? def func(**kwargs): return kwargs print(func(a=1, b=2));{'a': 1, 'b': 2};(1, 2);[1, 2];Error;{'a': 1, 'b': 2};1
Python;Methods;Expert; Mi a következõ  kód kimenete?def func(*args): return sum(args) print(func(1, 2, 3, 4));10;24;1234;Error;10;1
Python;DataStructures;Expert; Mi az a set Pythonban?; Egy rendezetlen egyedi elemek gy?jtem?nye; Egy módosítható elemek sorozata; Egy kulcs-érték párok gy?jteménye; Egy függvény több visszatérési értékkel; Egy rendezetlen egyedi elemek gy?jteménye;1
Python;DataStructures;Expert; Mi a következõ  kód kimenete? my_set = {1, 2, 3} my_set.add(4) print(my_set);{1, 2, 3, 4}; {1, 2, 3};{1, 2, 3, 4, 5};{4, 5, 6};{1, 2, 3, 4};1
Python;DataStructures;Expert; Mi a következõ  kód kimenete? my_tuple = (1, 2, 3) print(my_tuple[1]);2;1;3;Error;2;1
Python;DataStructures;Expert; Mi a következõ  kód kimenete? my_set = {1, 2, 3} my_set.remove(2) print(my_set);{1, 3};{1, 2, 3};{2, 3}; {1, 2};{1, 3};1
Sql;Type;Expert;Mit jelent a NULL érték SQL-ben?;Egy ismeretlen vagy hiányzó értéket;Egy nulla számot;Egy üres stringet;Egyik sem;Egy ismeretlen vagy hiányzó értéket;3
Sql;Type;Expert;Mi a különbség a CHAR és a VARCHAR adattípusok között?;A CHAR fix hosszúságú, a VARCHAR változó hosszúságú;A VARCHAR fix hosszúságú, a CHAR változó hosszúságú;Mindkettõ fix hosszúságú;Mindkettõ változó hosszúságú;A CHAR fix hosszúságú, a VARCHAR változó hosszúságú;3
Sql;Type;Expert;Hogyan definiálható egy dátum és idõ SQL-ben?;DATETIME;VARCHAR;BOOLEAN;NUMBER;DATETIME;3
Sql;Type;Expert;Melyik adattípus használható dátumok tárolására?;DATE;INT;VARCHAR;TEXT;DATE;3
Sql;Query;Expert;Hogyan írnál egy SQL lekérdezést, amely az 'employees' tábla összes sorát megjeleníti?;"SELECT * FROM employees;";"SHOW * FROM employees;";"DISPLAY employees;";"SELECT ALL FROM employees;";"SELECT * FROM employees;";3
Sql;Query;Expert;Mire használható a JOIN SQL-ben?;Táblák összekapcsolására;Táblák törlésére;Táblák oszlopainak hozzáadására;Egyik sem;Táblák összekapcsolására;3
Sql;Query;Expert;Mire használható a SELECT utasítás?;Adatok lekérdezésére a táblákból;Új tábla létrehozására;Táblák törlésére;Egyik sem;Adatok lekérdezésére a táblákból;4
Sql;DDL;Expert;Mit jelent az ALTER utasítás?;Egy meglévõ tábla módosítása;Egy tábla törlése;Egy új adatbázis létrehozása;Adatok beszúrása;Egy meglévõ tábla módosítása;4
Sql;DDL;Expert;Hogyan nevezel át egy táblát SQL-ben?;"ALTER TABLE tábla_neve RENAME TO új_név;";"CHANGE TABLE tábla_neve TO új_név;";"RENAME TABLE új_név;";"UPDATE TABLE tábla_neve;";"ALTER TABLE tábla_neve RENAME TO új_név;";4
Sql;DDL;Expert;Mit jelent a CONSTRAINT SQL-ben?;Egy feltétel a tábla oszlopaihoz;Egy oszlop neve;Egy tábla neve;Egyik sem;Egy feltétel a tábla oszlopaihoz;4
Sql;DDL;Expert;Mit jelent a PRIMARY KEY SQL-ben?;Egy oszlop vagy oszlopcsoport, amely egyedileg azonosítja a sorokat;Egy oszlop alapértelmezett értékének beállítása;Egy index neve;Egyik sem;Egy oszlop vagy oszlopcsoport, amely egyedileg azonosítja a sorokat;4
Sql;DML;Expert;Hogyan törölsz adatokat SQL-ben?;"DELETE FROM tábla_neve;";"REMOVE ROW tábla_neve;";"CLEAR ROWS tábla_neve;";"TRUNCATE tábla_neve;";"DELETE FROM tábla_neve;";4
Sql;DML;Expert;Hogyan számolhatod meg a táblában lévõ sorokat?;"SELECT COUNT(*) FROM tábla_neve;";"COUNT ROWS tábla_neve;";"CALCULATE ROWS tábla_neve;";"SUM ROWS tábla_neve;";"SELECT COUNT(*) FROM tábla_neve;";4
Sql;DML;Expert;Hogyan törölsz adatokat SQL-ben?;"DELETE FROM tábla_neve;";"REMOVE ROW tábla_neve;";"CLEAR ROWS tábla_neve;";"TRUNCATE tábla_neve;";"DELETE FROM tábla_neve;";4
Sql;Indexes;Expert;Hogyan hozhatsz létre egy indexet egy táblához?;"CREATE INDEX index_név ON tábla_neve (oszlop);";"ADD INDEX TO tábla_neve;";"NEW INDEX tábla_neve;";"CREATE ON INDEX tábla_neve;";"CREATE INDEX index_név ON tábla_neve (oszlop);";4
Sql;Indexes;Expert;Mire használhatók az indexek SQL-ben?;Lekérdezések gyorsítására;Táblák törlésére;Adatok másolására;Adatok rendezésére;Lekérdezések gyorsítására;4
Sql;Indexes;Expert;Hogyan biztosítod, hogy egy oszlopban ne legyenek duplikált értékek?;UNIQUE kulcsszóval;INDEX kulcsszóval;PRIMARY kulcsszóval;FOREIGN kulcsszóval;UNIQUE kulcsszóval;4
Sql;Indexes;Expert;Hogyan hozhatsz létre egy indexet egy táblához?;"CREATE INDEX index_név ON tábla_neve (oszlop);";"ADD INDEX TO tábla_neve;";"NEW INDEX tábla_neve;";"CREATE ON INDEX tábla_neve;";"CREATE INDEX index_név ON tábla_neve (oszlop);";4
Sql;Indexes;Expert;Hogyan biztosítod, hogy egy oszlopban ne legyenek duplikált értékek?;UNIQUE kulcsszóval;INDEX kulcsszóval;PRIMARY kulcsszóval;FOREIGN kulcsszóval;UNIQUE kulcsszóval;4
C#;Type;Intermediate;Mekkora egy 'float' mérete C#-ban?;4 byte;8 byte;2 byte;Az architektúrától függ;4 byte;1
C#;Type;Intermediate;Melyik C# kulcsszóval hozható létre enumerált típus?;enum;struct;enumtype;datatype;enum;1
C#;Type;Intermediate;Hogyan hozhatsz létre konstansot C#-ban?;const kulcsszóval;var kulcsszóval;let kulcsszóval;static kulcsszóval;const kulcsszóval;1
C#;Loop;Intermediate;Mi a 'break' utasítás célja a ciklusokban?;Kilépés a ciklusból;Újraindítja a ciklust;Megállítja a ciklust;Egyik sem;Kilépés a ciklusból;1
C#;Loop;Intermediate;Melyik C# ciklus a legmegfelelõbb kollekciók iterálására?;foreach;for;while;do-while;foreach;1
C#;Loop;Intermediate;Melyik ciklus biztosítja, hogy legalább egyszer lefut?;do-while;while;for;foreach;do-while;1
C#;Loop;Intermediate;Mit használhatsz a ciklusban az aktuális iteráció kihagyására?;continue;break;return;switch;continue;1
C#;Loop;Intermediate;Melyik ciklus biztosítja, hogy legalább egyszer lefut?;do-while;while;for;foreach;do-while;1
C#;Loop;Intermediate;Mit használhatsz a ciklusban az aktuális iteráció kihagyására?;continue;break;return;switch;continue;1
C#;Loop;Intermediate;Hogyan iterálhatsz visszafelé egy tömbön egy ciklusban?;Indexet csökkentve;Indexet növelve;break-kel;Egyik sem;Indexet csökkentve;1
C#;OOP;Intermediate;Mi a default access modifier C# osztályoknál?;internal;public;private;protected;internal;1
C#;OOP;Intermediate;Hogyan biztosítja az öröklés az újrahasznosítást?;A kód újrafelhasználható az alosztályokban;Csak a bázisosztály használja a kódot;Csak a privát metódusok öröklõdnek;Egyik sem;A kód újrafelhasználható az alosztályokban;1
C#;OOP;Intermediate;Mi az öröklés célja C#-ban?;Kód újrafelhasználása egy alaposztályból;Nem kapcsolódó osztályok létrehozása;Kód újrafelhasználásának megakadályozása;Egyik sem;Kód újrafelhasználása egy alaposztályból;1
C#;OOP;Intermediate;Mi a default access modifier C# osztályoknál?;internal;public;private;protected;internal;2
C#;OOP;Intermediate;Hogyan valósítasz meg több interfészt egy osztályban C#-ban?;Vesszõvel elválasztva;Pontosvesszõvel elválasztva;Kettõsponttal elválasztva;Egyik sem;Vesszõvel elválasztva;2
C#;Methods;Intermediate;Hogyan hívsz meg egy statikus metódust C#-ban?;Az osztály nevének használatával;Egy példánnyal;Egy delegáttal;Egyik sem;Az osztály nevének használatával;2
C#;Methods;Intermediate;Hogyan definiálsz egy generikus metódust C#-ban?;Az általános típus megadásával;Az interface szó használatával;Az implementáció helyén;Egyik sem;Az általános típus megadásával;2
C#;DataStructures;Intermediate;Melyik gyûjtemény automatikusan növekszik?;List;Array;Queue;Stack;List;2
C#;DataStructures;Intermediate;Hogyan biztosítja a Dictionary a gyors keresést?;Kulcs-hashelés használatával;Bináris kereséssel;Sorba rendezéssel;Egyik sem;Kulcs-hashelés használatával;2
C#;DataStructures;Intermediate;Melyik C# adatszerkezetet használnád konstans idõ alatt történõ keresésekhez?;HashSet;List;Queue;Array;HashSet;2
C#;DataStructures;Intermediate;Melyik adatszerkezetet használhatod prioritási sorrendhez?;PriorityQueue;HashSet;Stack;Queue;PriorityQueue;2
C#;DataStructures;Intermediate;Melyik gyûjtemény automatikusan növekszik?;List;Array;Queue;Stack;List;2
C#;DataStructures;Intermediate;Hogyan biztosítja a Dictionary a gyors keresést?;Kulcs-hashelés használatával;Bináris kereséssel;Sorba rendezéssel;Egyik sem;Kulcs-hashelés használatával;2
Java;Type;Intermediate;Melyik típus nem primitív Java-ban?;String;int;float;double;String;2
Java;Type;Intermediate;Hogyan hozhatsz létre tömböt Java-ban?;new kulcsszóval;create kulcsszóval;array kulcsszóval;make kulcsszóval;new kulcsszóval;2
Java;Loop;Intermediate;Melyik Java ciklus alkalmas fix számú iterációra?;for;while;foreach;do-while;for;2
Java;Loop;Intermediate;Mi a break utasítás célja a ciklusokban?;Kilépés a ciklusból;Újraindítja a ciklust;Megállítja a ciklust;Egyik sem;Kilépés a ciklusból;2
Java;Loop;Intermediate;Melyik Java ciklus alkalmas fix számú iterációra?;for;while;foreach;do-while;for;2
Java;Loop;Intermediate;Mi a break utasítás célja a ciklusokban?;Kilépés a ciklusból;Újraindítja a ciklust;Megállítja a ciklust;Egyik sem;Kilépés a ciklusból;2
Java;Loop;Intermediate;Mit csinál a continue utasítás Java-ban?;Átugrik a következõ iterációra;Befejezi a ciklust;Kilép a metódusból;Egyik sem;Átugrik a következõ iterációra;2
Java;Loop;Intermediate;Melyik Java ciklus biztosítja, hogy legalább egyszer lefusson?;do-while;while;for;foreach;do-while;2
Java;Loop;Intermediate;Mit csinál a continue utasítás Java-ban?;Átugrik a következõ iterációra;Befejezi a ciklust;Kilép a metódusból;Egyik sem;Átugrik a következõ iterációra;2
Java;OOP;Intermediate;Mi az öröklés célja Java-ban?;Kód újrafelhasználása egy származtatott osztályban;Nem kapcsolódó osztályok létrehozása;Kód újrafelhasználásának megakadályozása;Egyik sem;Kód újrafelhasználása egy származtatott osztályban;2
Java;OOP;Intermediate;Mit jelent a polimorfizmus Java-ban?;Ugyanaz a metódus különbözõen viselkedik;Több osztály deklarálása;Több objektum létrehozása;Egyik sem;Ugyanaz a metódus különbözõen viselkedik;2
Java;OOP;Intermediate;Mi az interfész Java-ban?;Egy szerzõdés az osztályok számára;Egy osztály típusa;Egy statikus metódus;Egyik sem;Egy szerzõdés az osztályok számára;2
Java;OOP;Intermediate;Mi az öröklés célja Java-ban?;Kód újrafelhasználása egy származtatott osztályban;Nem kapcsolódó osztályok létrehozása;Kód újrafelhasználásának megakadályozása;Egyik sem;Kód újrafelhasználása egy származtatott osztályban;2
Java;OOP;Intermediate;Mit jelent az abstract kulcsszó Java-ban?;Az osztály nem példányosítható;Az osztály privát;Az osztály minden metódusa implementált;Egyik sem;Az osztály nem példányosítható;2
Java;OOP;Intermediate;Mi az öröklés célja Java-ban?;Kód újrafelhasználása egy származtatott osztályban;Nem kapcsolódó osztályok létrehozása;Kód újrafelhasználásának megakadályozása;Egyik sem;Kód újrafelhasználása egy származtatott osztályban;2
Java;OOP;Intermediate;Mit jelent a polimorfizmus Java-ban?;Ugyanaz a metódus különbözõen viselkedik;Több osztály deklarálása;Több objektum létrehozása;Egyik sem;Ugyanaz a metódus különbözõen viselkedik;2
Java;Methods;Intermediate;Mi a különbség a metódus túlterhelése (overloading) és felüldefiniálása (overriding) között?;A túlterhelés különbözõ paramétereket használ;A felüldefiniálás más metódusnevet igényel;Nincs különbség;Egyik sem;A túlterhelés különbözõ paramétereket használ;2
Java;Methods;Intermediate;Hogyan hívsz meg egy másik metódust ugyanabban az osztályban?;Egyszerûen a metódus nevének használatával;A this kulcsszóval;Az osztály nevével;Egyik sem;Egyszerûen a metódus nevének használatával;2
Java;Methods;Intermediate;Mit jelent az args paraméter a main metódusban?;Parancssori argumentumok;Változó argumentumok;Konstansok;Egyik sem;Parancssori argumentumok;2
Java;Methods;Intermediate;Hogyan biztosítod, hogy egy metódus ne lehessen felüldefiniálva?;A final kulcsszóval;Az abstract kulcsszóval;A static kulcsszóval;Egyik sem;A final kulcsszóval;2
Java;DataStructures;Intermediate;Melyik Java osztály használható prioritási sorrendhez?;PriorityQueue;HashMap;HashSet;Vector;PriorityQueue;2
Java;DataStructures;Intermediate;Hogyan törölhetsz elemet egy listából?;remove metódussal;delete metódussal;clear metódussal;Egyik sem;remove metódussal;2
Java;DataStructures;Intermediate;Hogyan rendezhetsz egy listát Java-ban?;Collections.sort() metódussal;Array.sort() metódussal;Set.sort() metódussal;Egyik sem;Collections.sort() metódussal;2
Java;DataStructures;Intermediate;Melyik Java gyûjtemény tárolja kulcs-érték párokat?;HashMap;ArrayList;LinkedList;Vector;HashMap;2
Java;DataStructures;Intermediate;Melyik Java gyûjtemény nem engedélyez duplikátumokat?;HashSet;ArrayList;LinkedList;Queue;HashSet;2
Java;DataStructures;Intermediate;Mi a stack viselkedése Java-ban?;LIFO (Last In, First Out);FIFO (First In, First Out);Véletlenszerû hozzáférés;Egyik sem;LIFO (Last In, First Out);2
Java;DataStructures;Intermediate;Hogyan törölhetsz elemet egy listából?;remove metódussal;delete metódussal;clear metódussal;Egyik sem;remove metódussal;2
Java;DataStructures;Intermediate;Hogyan rendezhetsz egy listát Java-ban?;Collections.sort() metódussal;Array.sort() metódussal;Set.sort() metódussal;Egyik sem;Collections.sort() metódussal;2
Javascript;Type;Intermediate;Melyik primitív típus nem létezik JavaScript-ben?;integer;string;boolean;undefined;integer;3
Javascript;Type;Intermediate;Mit jelent az undefined érték JavaScript-ben?;Egy változót deklaráltak, de nem inicializálták;Egy változót inicializáltak, de null értékû;Hibát jelent;Egyik sem;Egy változót deklaráltak, de nem inicializálták;3
Javascript;Type;Intermediate;Hogyan hozol létre állandó változót JavaScript-ben?;A 'const' kulcsszóval;A 'let' kulcsszóval;A 'final' kulcsszóval;A 'static' kulcsszóval;A 'const' kulcsszóval;3
Javascript;Type;Intermediate;Melyik primitív típus nem létezik JavaScript-ben?;integer;string;boolean;undefined;integer;3
Javascript;Type;Intermediate;Mit jelent az undefined érték JavaScript-ben?;Egy változót deklaráltak, de nem inicializálták;Egy változót inicializáltak, de null értékû;Hibát jelent;Egyik sem;Egy változót deklaráltak, de nem inicializálták;3
Javascript;Type;Intermediate;Mi a különbség a 'let' és a 'var' között?;'let' blokkszintû, 'var' függvényszintû;'let' csak egyszer használható;'var' nem inicializálható;Egyik sem;'let' blokkszintû, 'var' függvényszintû;3
Javascript;Loop;Intermediate;Melyik ciklus biztosítja, hogy legalább egyszer lefut?;do-while;while;for;foreach;do-while;3
Javascript;Loop;Intermediate;Melyik utasítás használható a ciklus megszakítására?;break;continue;return;stop;break;3
Javascript;Loop;Intermediate;Hogyan definiálhatsz végtelen ciklust JavaScript-ben?;while(true);"for(;;)";Mindkettõ;Egyik sem;while(true);3
Javascript;Loop;Intermediate;Hogyan iterálhatsz egy tömbön JavaScript-ben?;for...of;while;if;do-while;for...of;3
Javascript;Loop;Intermediate;Hogyan definiálhatsz végtelen ciklust JavaScript-ben?;while(true);"for(;;)";Mindkettõ;Egyik sem;while(true);3
Javascript;Loop;Intermediate;Hogyan iterálhatsz egy objektum tulajdonságain?;for...in;for...of;while;do-while;for...in;3
Javascript;OOP;Intermediate;Hogyan hozhatsz létre egy osztályt?;class kulcsszóval;new kulcsszóval;this kulcsszóval;object kulcsszóval;class kulcsszóval;3
Javascript;OOP;Intermediate;Mit jelent az extends kulcsszó JavaScript-ben?;Egy osztály öröklését;Egy új metódus létrehozását;Egy objektum klónozását;Egyik sem;Egy osztály öröklését;3
Javascript;OOP;Intermediate;Mi a célja az öröklésnek JavaScript-ben?;Kód újrafelhasználása;Új osztály létrehozása;Osztályok másolása;Egyik sem;Kód újrafelhasználása;3
Javascript;OOP;Intermediate;Mit jelent a prototype lánc?;Egy mechanizmus az objektumok öröklésére;Egy metódus túlterhelésére;Egy új objektum inicializálására;Egyik sem;Egy mechanizmus az objektumok öröklésére;3
Javascript;OOP;Intermediate;Hogyan hozhatsz létre egy osztályt?;class kulcsszóval;new kulcsszóval;this kulcsszóval;object kulcsszóval;class kulcsszóval;3
Javascript;OOP;Intermediate;Mi a célja az öröklésnek JavaScript-ben?;Kód újrafelhasználása;Új osztály létrehozása;Osztályok másolása;Egyik sem;Kód újrafelhasználása;3
Javascript;OOP;Intermediate;Mit jelent az osztály JavaScript-ben?;Egy sablon objektumok létrehozásához;Egy változó típus;Egy funkció típusa;Egyik sem;Egy sablon objektumok létrehozásához;3
Javascript;OOP;Intermediate;Mit jelent az Object.freeze metódus?;Egy objektum módosíthatatlanná tétele;Egy objektum törlése;Egy új objektum inicializálása;Egyik sem;Egy objektum módosíthatatlanná tétele;3
Javascript;OOP;Intermediate;Mit jelent a prototype lánc?;Egy mechanizmus az objektumok öröklésére;Egy metódus túlterhelésére;Egy új objektum inicializálására;Egyik sem;Egy mechanizmus az objektumok öröklésére;3
Javascript;Methods;Intermediate;Hogyan hívsz meg egy metódust egy objektumban?;Az objektum neve és a metódus neve ponttal elválasztva;A metódus neve zárójel nélkül;A metódus neve zárójelekkel;Egyik sem;Az objektum neve és a metódus neve ponttal elválasztva;3
Javascript;Methods;Intermediate;Mit jelent a return kulcsszó?;Kilép egy függvénybõl, és visszaad egy értéket;Egy értéket állít be;Egy függvényt inicializál;Egyik sem;Kilép egy függvénybõl, és visszaad egy értéket;3
Javascript;Methods;Intermediate;Hogyan hívsz meg egy metódust egy objektumban?;Az objektum neve és a metódus neve ponttal elválasztva;A metódus neve zárójel nélkül;A metódus neve zárójelekkel;Egyik sem;Az objektum neve és a metódus neve ponttal elválasztva;3
Javascript;Methods;Intermediate;Mit jelent a bind metódus JavaScript-ben?;Egy függvényhez állandó kontextust köt;Egy függvényt meghív;Egy objektumot klónoz;Egyik sem;Egy függvényhez állandó kontextust köt;3
Javascript;DataStructures;Intermediate;Hogyan iterálhatsz egy Map-en?;forEach metódussal;for ciklussal;while ciklussal;if utasítással;forEach metódussal;3
Javascript;DataStructures;Intermediate;Melyik adatszerkezet nem engedélyez duplikált elemeket?;Set;Array;Map;Object;Set;3
Javascript;DataStructures;Intermediate;Hogyan távolíthatsz el egy elemet egy Map-bõl?;delete metódussal;remove metódussal;pop metódussal;Egyik sem;delete metódussal;3
Javascript;DataStructures;Intermediate;Hogyan iterálhatsz egy Map-en?;forEach metódussal;for ciklussal;while ciklussal;if utasítással;forEach metódussal;3
Javascript;DataStructures;Intermediate;Hogyan iterálhatsz egy Map-en?;forEach metódussal;for ciklussal;while ciklussal;if utasítással;forEach metódussal;3
Javascript;DataStructures;Intermediate;Hogyan távolíthatsz el egy elemet egy Map-bõl?;delete metódussal;remove metódussal;pop metódussal;Egyik sem;delete metódussal;3
Python;Type;Intermediate; Hogyan ellenõrizheted egy változó típusát Pythonban?; type(); check(); typeof(); var(); type();0
Python;Type;Intermediate; Hogyan konvertálsz egy számot stringgé Pythonban?; str(10); int(10); float(10); list(10); str(10);0
Python;Type;Intermediate;" Mi a következõ  kód kimenete? print(int(""123""))";123;" ""123"""; 12.3; Error;123;0
Python;Type;Intermediate; Mi a következõ  kód kimenete? print(float(10)); 10.0;10; 1.0; Error; 10.0;0
Python;Loop;Intermediate; Mi a helyes szintaxis egy for ciklushoz Pythonban?; for i in range(10):;" for (i=0; i<10; i++)";" for i=0; i<10; i++"; foreach (i in range(10)); for i in range(10):;0
Python;Loop;Intermediate; Mi a range(5) kimenete Pythonban?; 0 1 2 3 4; 1 2 3 4 5; 0 1 2 3 4 5; 1 2 3 4; 0 1 2 3 4;0
Python;Loop;Intermediate; Mi a következõ  kód kimenete? for i in range(0, 10, 2): print(i); 0 2 4 6 8; 1 3 5 7 9; 0 1 2 3 4 5 6 7 8 9; 2 4 6 8 10; 0 2 4 6 8;0
Python;Loop;Intermediate; Mi a következõ  kód kimenete? for i in range(1, 5): print(i); 1 2 3 4; 1 2 3 4 5; 0 1 2 3 4; 2 3 4 5; 1 2 3 4;0
Python;OOP;Intermediate; Mi az öröklés Pythonban?;Egy osztály, amely másik osztály tulajdonságait örökli;Egy osztály, amely egy másik osztályt felülír;Egy osztály, amely több metódust tartalmaz;Egy osztály, amely privát változókat tartalmaz;Egy osztály, amely másik osztály tulajdonságait örökli;0
Python;OOP;Intermediate; Hogyan hívsz meg egy osztály metódusát Pythonban?; self.method(); this.method(); class.method(); method(); self.method();0
Python;OOP;Intermediate; Mi a következõ  kód kimenete? class MyClass: def __init__(self, value): self.value = value obj = MyClass(10) print(obj.value);10;0; None; Error;10;1
Python;OOP;Intermediate; Mi a következõ  kód kimenete? class MyClass: def __init__(self,  value): self.value = value obj = MyClass(5) print(obj.value);5;0; None; Error;5;1
Python;Methods;Intermediate; Hogyan adsz át paramétereket egy metódusnak Pythonban?; def my_method(param):; method my_method(param):; function my_method(param):; define my_method(param):; def my_method(param):;1
